time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.000442,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.000884,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.001326,3670,0,0,16384,0,0,0,0,0.5,1131.22171945701,2559325.15714256,3669.5,0,0,0,3670,0,0,0,3670,0,0,0,3670,3669.5,3669.5,3669.5,0
0.001768,3670,0,0,16384,0,0,0,0,3.22265625,6159.85576923077,11377000.1126103,3666.77734375,0,0,0,3670,0,0,0,3670,0,0,0,3670,3666.77734375,3666.77734375,3666.77734375,0
0.00221,3670,0,0,16384,0,0,0,0,6.796875,8086.467760181,4358850.65825843,3663.203125,0,0,0,3670,0,0,0,3670,0,0,0,3670,3663.203125,3663.203125,3663.203125,0
0.002652,3670,0,0,16384,0,0,0,0,9.125,5267.25113122172,-6378318.16506623,3660.875,0,0,0,3670,0,0,0,3670,0,0,0,3670,3660.875,3660.875,3660.875,0
0.003094,3670,0,0,16384,0,0,0,0,11.93359375,6354.28450226244,2459351.51819168,3658.06640625,0,0,0,3670,0,0,0,3670,0,0,0,3670,3658.06640625,3658.06640625,3658.06640625,0
0.003536,3670,0,0,16384,0,0,0,0,17.171875,11851.3150452489,12436720.6854896,3652.828125,1,2262.44343891403,5118650.31428513,3669,0,0,0,3670,0,0,0,3670,3652.828125,3652.828125,3652.828125,0
0.003978,3670,0,0,16384,0,0,0,0,22.49609375,12045.7437782805,439884.011383879,3647.50390625,1,0,-5118650.31428513,3669,0,0,0,3670,0,0,0,3670,3647.50390625,3647.50390625,3647.50390625,0
0.00442,3670,0,0,16384,0,0,0,0,26.4296875,8899.53337104072,-7118123.09330276,3643.5703125,1,0,0,3669,0,0,0,3670,0,0,0,3670,3643.5703125,3643.5703125,3643.5703125,0
0.004862,3670,0,0,16384,0,0,0,0,31.859375,12284.3608597285,7657980.74363752,3638.140625,1,0,0,3669,0,0,0,3670,0,0,0,3670,3638.140625,3638.140625,3638.140625,0
0.005304,3670,0,0,16384,0,0,0,0,39.2578125,16738.5463800905,10077342.8062489,3630.7421875,1,0,0,3669,0,0,0,3670,0,0,0,3670,3630.7421875,3630.7421875,3630.7421875,0
0.005746,3670,0,0,16384,0,0,0,0,46.2734375,15872.4547511312,-1959483.32343728,3623.7265625,1,0,0,3669,0,0,0,3670,0,0,0,3670,3623.7265625,3623.7265625,3623.7265625,0
0.006188,3670,0,0,16384,0,0,0,0,52.25,13521.6346153846,-5318597.59218689,3617.75,1,0,0,3669,0,0,0,3670,0,0,0,3670,3617.75,3617.75,3617.75,0
0.00663,3670,0,0,16384,0,0,0,0,59.96875,17463.2352941176,8917648.59441862,3610.03125,1,0,0,3669,0,0,0,3670,0,0,0,3670,3610.03125,3610.03125,3610.03125,0
0.007072,3670,0,0,16384,0,0,0,0,69.0234375,20485.7183257919,6838196.90424029,3600.9765625,1,0,0,3669,0,0,0,3670,0,0,0,3670,3600.9765625,3600.9765625,3600.9765625,0
0.007514,3670,0,0,16384,0,0,0,0,76.75,17480.9106334842,-6798207.44865994,3593.25,1,0,0,3669,0,0,0,3670,0,0,0,3670,3593.25,3593.25,3593.25,0
0.007956,3670,0,0,16384,0,0,0,0,84.1015625,16632.4943438914,-1919493.86785693,3585.8984375,1,0,0,3669,0,0,0,3670,0,0,0,3670,3585.8984375,3585.8984375,3585.8984375,0
0.008398,3670,0,0,16384,0,0,0,0,93.6171875,21528.5633484163,11077079.1957577,3576.3828125,1,0,0,3669,0,0,0,3670,0,0,0,3670,3576.3828125,3576.3828125,3576.3828125,0
