omega,ln(omega),real,imaginary,gain,phase,phase(degree)
0.1,-1,0.001546038,-3.4712E-06,-56.21557301,-0.002245218,-0.128641528
0.102329299,-0.99,0.001546039,-3.55206E-06,-56.21556571,-0.002297518,-0.13163809
0.104712855,-0.98,0.001546041,-3.6348E-06,-56.21555807,-0.002351036,-0.134704459
0.107151931,-0.97,0.001546042,-3.71948E-06,-56.21555007,-0.002405801,-0.137842262
0.10964782,-0.96,0.001546043,-3.80612E-06,-56.21554169,-0.002461842,-0.141053163
0.112201845,-0.95,0.001546044,-3.89479E-06,-56.21553292,-0.002519188,-0.144338866
0.114815362,-0.94,0.001546046,-3.98552E-06,-56.21552374,-0.002577871,-0.147701114
0.117489755,-0.93,0.001546047,-4.07836E-06,-56.21551412,-0.00263792,-0.15114169
0.120226443,-0.92,0.001546049,-4.17337E-06,-56.21550404,-0.002699368,-0.15466242
0.123026877,-0.91,0.00154605,-4.27059E-06,-56.2154935,-0.002762248,-0.158265172
0.125892541,-0.9,0.001546052,-4.37007E-06,-56.21548245,-0.002826593,-0.161951857
0.128824955,-0.89,0.001546054,-4.47188E-06,-56.21547089,-0.002892437,-0.165724431
0.131825674,-0.88,0.001546056,-4.57605E-06,-56.21545878,-0.002959815,-0.169584896
0.134896288,-0.87,0.001546058,-4.68266E-06,-56.2154461,-0.003028762,-0.173535301
0.138038426,-0.86,0.00154606,-4.79174E-06,-56.21543282,-0.003099316,-0.177577742
0.141253754,-0.85,0.001546062,-4.90337E-06,-56.21541892,-0.003171514,-0.181714364
0.144543977,-0.84,0.001546064,-5.0176E-06,-56.21540436,-0.003245394,-0.185947361
0.147910839,-0.83,0.001546066,-5.1345E-06,-56.21538912,-0.003320995,-0.190278981
0.151356125,-0.82,0.001546069,-5.25411E-06,-56.21537315,-0.003398357,-0.194711523
0.154881662,-0.81,0.001546071,-5.37652E-06,-56.21535644,-0.003477522,-0.199247339
0.158489319,-0.8,0.001546074,-5.50178E-06,-56.21533893,-0.003558531,-0.203888835
0.16218101,-0.79,0.001546077,-5.62995E-06,-56.2153206,-0.003641428,-0.208638478
0.165958691,-0.78,0.00154608,-5.76112E-06,-56.21530141,-0.003726257,-0.213498786
0.169824365,-0.77,0.001546083,-5.89534E-06,-56.21528132,-0.003813062,-0.218472341
0.173780083,-0.76,0.001546086,-6.03269E-06,-56.21526027,-0.003901889,-0.223561783
0.177827941,-0.75,0.001546089,-6.17324E-06,-56.21523824,-0.003992786,-0.228769813
0.181970086,-0.74,0.001546093,-6.31706E-06,-56.21521516,-0.004085802,-0.234099198
0.186208714,-0.73,0.001546097,-6.46424E-06,-56.215191,-0.004180985,-0.239552767
0.190546072,-0.72,0.001546101,-6.61485E-06,-56.2151657,-0.004278385,-0.245133415
0.19498446,-0.71,0.001546105,-6.76898E-06,-56.21513921,-0.004378056,-0.250844107
